Cave_ID	Cave_Name	Cave_Synonyms	Cave_Type	Region	Subregion	Municipality	Settlement	Longitude	Latitude	Altitude	Location_Status	Cave_short_references	Reference_ID	Protection_Status	Cave_Description
180	Spilaio Skalion		Natural	Notio Aigaio	Kalymnos	Kalymnos	Skalia	26.958038278	37.030311212	115	Location known	Petrocheilou & Panagiotidis 1980|Petrocheilou 1989d|Petrocheilou 1984	978|1077|1073		
181	Spilaio Peristeri		Natural	Attiki	Nisoi Attikis	Troizinia	Methana	23.360092015	37.573172092	20	Location known	Petrocheilou 1974g|Petrocheilou 1984	1056|1073		
182	Spilaio Rachi II		Natural	Attiki	Voreios Tomeas Attikis	Agia Paraskevi	Agia Paraskevi	23.827525	37.990923	575	Location known	Lindberg 1955b	871	GR3000006 - Ymittos - Aisthitiko Dasos Kaisarianis - Limni Vouliagmenis (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000006" target="_blank"> Check site’s Standard Data Form</a>|GR3000015 - Oros Ymittos (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000015" target="_blank"> Check site’s Standard Data Form</a>	
183	Spilaio Avras	Pozarsca Mala Pestera	Natural	Kentriki Makedonia	Pella	Almopia	Loutra Loutrakiou	21.913874	40.971026	400	Location known			GR1240008 - Oros Voras (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1240008" target="_blank"> Check site’s Standard Data Form</a>|GR1240001 - Koryfes Orous Vora (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1240001" target="_blank"> Check site’s Standard Data Form</a>	
184	Spilaio Peristera		Natural	Kriti	Lasithi	Agios Nikolaos	Vrachasi	25.570603543	35.270607366	391	Location known	Platakis 1952|Lindberg 1955a	1089|870	GR4320013 - Farangi Selinari - Vrachasi (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4320013" target="_blank"> Check site’s Standard Data Form</a>|Archaeological Site- Ministerial Decision 15501/567/4-4-1985 (OGG 244/Β/2-5-1985)	
185	Spilaio Melissotrypa		Natural	Thessalia	Larisa	Elassona	Kefalovryso	22.04904606178197	39.87764094125471	300	Location known	Vaxevanopoulos 2007	1140	GR1440003 - Antichasia Ori - Meteora - Spilaio Melissotrypa (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1440003" target="_blank"> Check site’s Standard Data Form</a>|K717 - Mitrouna - Olympakos - Papamagoula Dimotikon Diamerismaton Palaiokastrou - Kefalovrysou - Kraneas ton Dimon Elassonas - Antichasion [Wildlife Refuge]: OGG 961/Β/2001	
186	Spilaia Faias Petras		Natural	Kentriki Makedonia	Serres	Sintiki	Faia Petra	23.437039286	41.273349547	200	Location known	Lindberg 1955b	871		
187	Spilaio Ano Marathospilio		Natural	Kriti	Rethymno	Mylopotamos	Kynigiana	24.690064533	35.315936105	489	Location known	Lindberg 1955a	870		
188	Spilaio Pestereta		Natural	Kentriki Makedonia	Serres	Serres	Oreini	23.59232093	41.194651976	753	Location known	Lindberg 1955b	871		
189	Spilaio Fantaxospiliara	Metaxospilio, Spiliara, Gria Spilia	Natural	Kriti	Rethymno	Rethymno	Prinos	24.643961666	35.392844997	142	Location known	Faure 1961|Petrocheilou 1970h|Petrocheilos 1953d|Lindberg 1955a	765|1027|962|870	K550 - Profitis Ilias (Angelianon-Prinou-Alfa): Joint Ministerial Decision 161757/ 3167/16.7.1981	
190	Spilaio Lamias		Natural	Kriti	Rethymno	Mylopotamos	Kynigiana	24.697292307	35.29912494	688	Location known	Lindberg 1955a	870	GR4330005  - Oros Idi (Vorizia, Geranoi, Kali Madara) (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site= GR4330005 " target="_blank"> Check site’s Standard Data Form</a>	
191	Spilaio Doxa		Natural	Kriti	Irakleio	Malevizi	Marathos	24.999251704	35.345178077	468	Location known	Gasparo 2003	1160		
192	Railway tunnel		Artificial	Thessalia	Larisa	Tempi	Ampelakia	22.581327	39.877460	33	Location known			GR1420005 - Aisthitiko Dasos Koiladas Tempon (Special Protection Area - Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1420005" target="_blank"> Check site’s Standard Data Form</a>	
193	Spilaio Agias Paraskevis		Natural	Thessalia	Larisa	Tempi	Ampelakia	22.585403793	39.880006391	41	Location known			GR1420005 - Aisthitiko Dasos Koiladas Tempon (Special Protection Area - Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR1420005" target="_blank"> Check site’s Standard Data Form</a>	
194	Anonymous cave at Kallipefki		Natural	Thessalia	Larisa	Tempi	Kallipefki	22.459114	39.959634	1020	Unknown exact location			K187 - Aspropetra-Ailia (Kallipefkis) [Wildlife Refuge]: OGG 925/Β/1989	
195	Small cave near Larisa	Kryfos Spilios	Natural	Thessalia	Larisa	Agia	Stomio	22.683449	39.857900	500	Unknown exact location	Petrocheilou 1972e	1041		<p>It is probably the cave&nbsp; Kryfos Spilios. Petroceilou (1972) explored it on November 11, 1970. She reports the collection of <em>Dolochopoda</em> cave crickets to be studied by specialists. Kryfos Spilios is a small cave (2m wide, 15m long). It is located at Pouria, 500m a.s.l., 10km away from Stomio on the right side of the dirt road Plevna-Alataries-rema Pouri-rema Periseras.</p>
196	Varathro Dovrenas		Natural	Dytiki Ellada	Aitoloakarnania	Agrinio	Lepenou	21.286517	38.691867	73	Location known			K316 - Petalas (Amfilochias-Kechrinias-Papadatou-Stanou) [Wildlife Refuge]: OGG 834/Β/1979	
197	Spilaio Kefalovrysou		Natural	Peloponnisos	Argolida	Argos - Mykines	ΚefaΙovrissο	22.472122055	37.697237245	782	Location known				
198	Spilaio Choirospilia	Kirospiha Cave	Natural	Ionioi Nisoi	Lefkada	Lefkada	Evgiros	20.654660623	38.617822224	119	Location known	Petrocheilou 1966b	1009		
199	Cave near Naousa		Natural	Kentriki Makedonia	Imathia	Naousa	Naousa	22.071338	40.635492	280	Unknown exact location				
200	Spilaio Megalou Alexandrou		Natural	Kentriki Makedonia	Imathia	Naousa	Naousa	22.074981647	40.633524268	270	Location known	Rémy 1951	1110		
201	Spilaio Oinois B'	Spilaio Panos	Natural	Attiki	Anatoliki Attiki	Marathonas	Marathonas	23.931411531	38.15900564	80	Location known	Deligiorgi-Alexopoulou 1980|Petrocheilos 1958c|Deligiorgi-Alexopoulou 1985a|Deligiorgi 1982	757|973|758|756	Landscape of Outstanding Natural Beauty - Ministerial Decision 828/14/25-2-1980 (OGG 366/Β/11-4-1980)|Archaeological Site - Ministerial Decision 19954/2601/23-7-1977 (OGG 866/Β/12-9-1977)	
202	Spilaio Panagias Sarantaskaliotisas		Natural	Voreio Aigaio	Samos	Samos	Marathokambos	26.659200144	37.727685052	320	Location known	Kirdis & Papadopoulos 2000|Petrocheilou 1984|Petrocheilos 1952e	847|1073|1152	GR4120003 - Samos: Oros Kerketefs - Mikro Kai Megalo Seitani - Dasos Kastanias Kai Lekkas, Akr. Katavasis - Limenas (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4120003" target="_blank"> Check site’s Standard Data Form</a>|GR4120008 - Samos: Oros Kerkis (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4120008" target="_blank"> Check site’s Standard Data Form</a>	
203	Spilaio Agias Kyriakis		Natural	Ipeiros	Preveza	Parga	Parga	20.448080844	39.283677926	220	Location known	Pavlidis 1979|Bonzano & Calandri 1984	949|1159		
204	Cave at Vardousia Mount		Natural	Sterea Ellada	Fokida	Delfoi	Athanasios Diakos	22.174386	38.672706	1100	Unknown Location	Petrocheilou 1992d	1081	GR2450001 - Ori Vardousia (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR2450001" target="_blank"> Check site’s Standard Data Form</a>|GR2450008 - Oros Vardousia (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR2450008" target="_blank"> Check site’s Standard Data Form</a>	
205	Spilaio Agiou Andrea		Natural	Dytiki Ellada	Aitoloakarnania	Amfilochia	Chalkiopouloi	21.383784	38.992872	1150	Location known	Petrocheilos 1957c|Bonzano & Calandri 1984	969|1159	K301 - Kanala (Valtou) [Wildlife Refuge]: OGG 700/Β/1980|GR2110006 - Koilada Acheloou and Ori Valtou (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR2110006" target="_blank"> Check site’s Standard Data Form</a>	
